
Run: 1 Realtime: 0 Accel sens: 8 Gyro sens: 1000

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
2699079,-0.970703,0.019043,-0.257568,2.593994,0.427246,-0.610352,12.670898,27.465820,-9.741211
5199183,-0.965576,0.018799,-0.261719,2.716064,0.549316,-0.518799,12.304688,27.392578,-9.521484
7694775,-0.962158,0.022705,-0.263916,2.929688,0.488281,-0.518799,12.304688,27.392578,-9.521484
10272828,-0.963867,0.021729,-0.266846,2.685547,0.701904,-0.640869,12.304688,27.392578,-9.521484
13145856,-0.970215,0.021484,-0.265869,2.655029,0.518799,-0.823975,12.304688,27.392578,-9.521484
15692730,-0.965576,0.023438,-0.265381,2.807617,0.488281,-0.457764,12.304688,27.392578,-9.521484
18144014,-0.965820,0.024170,-0.260986,2.532959,0.823975,-0.854492,12.304688,27.392578,-9.521484
20645350,-0.967529,0.018799,-0.268311,2.777100,0.396729,-0.579834,12.304688,27.392578,-9.521484
23344429,-0.974121,0.020264,-0.260498,2.441406,0.122070,-0.610352,12.304688,27.392578,-9.521484
25844534,-0.969727,0.020996,-0.261475,2.563477,0.488281,-0.549316,13.183594,26.806641,-9.375000
28406177,-0.966064,0.019775,-0.264160,2.410889,-0.030518,-0.366211,13.183594,26.806641,-9.375000
30893974,-0.965576,0.024902,-0.260010,2.655029,0.457764,-0.579834,13.183594,26.806641,-9.375000
33792848,-0.970703,0.018311,-0.266113,2.685547,0.030518,-0.488281,13.183594,26.806641,-9.375000
36294183,-0.972900,0.021484,-0.263672,2.624512,0.396729,-0.366211,13.183594,26.806641,-9.375000
38792236,-0.968018,0.018799,-0.261230,2.838135,0.122070,-0.549316,13.183594,26.806641,-9.375000
41298495,-0.967041,0.010010,-0.279297,2.990723,0.396729,-0.335693,13.183594,26.806641,-9.375000
43804343,-0.942383,-0.006836,-0.309326,3.967285,0.823975,-0.152588,12.524414,27.172852,-10.327148
46795935,-0.942627,-0.009033,-0.351563,6.072998,1.556396,0.335693,12.524414,27.172852,-10.327148
49694399,-0.981934,0.006348,-0.303711,7.110596,1.495361,0.305176,12.524414,27.172852,-10.327148
52222401,-0.974365,0.011230,-0.285400,7.324219,0.457764,0.610352,12.524414,27.172852,-10.327148
55246814,-0.965332,0.002441,-0.276855,7.507324,0.518799,0.793457,12.524414,27.172852,-10.327148
58278611,-0.961670,-0.013916,-0.270996,7.873535,0.823975,0.793457,12.524414,27.172852,-10.327148
61277998,-0.973633,-0.024170,-0.271484,8.575439,0.946045,1.129150,12.524414,27.172852,-10.327148
64228155,-0.973877,-0.028809,-0.263672,9.643555,0.671387,1.220703,12.744141,26.953125,-10.253906
66802926,-0.971191,-0.034912,-0.274902,10.589600,0.610352,1.678467,12.744141,26.953125,-10.253906
69747749,-0.968018,-0.033447,-0.269775,11.383057,0.335693,1.586914,12.744141,26.953125,-10.253906
72247443,-0.973877,-0.042236,-0.277100,12.359619,0.366211,2.258301,12.744141,26.953125,-10.253906
74793497,-0.976807,-0.044189,-0.283203,13.183594,0.122070,2.563477,12.744141,26.953125,-10.253906
77766217,-0.984131,-0.042480,-0.292236,14.190674,0.000000,2.685547,12.744141,26.953125,-10.253906
80264270,-0.982422,-0.037842,-0.288086,14.862061,-0.274658,3.204346,12.744141,26.953125,-10.253906
83261606,-0.979736,-0.036133,-0.290039,16.143799,-0.915527,3.814697,12.744141,26.953125,-10.253906
85838839,-0.984619,-0.034424,-0.306885,17.028809,-1.403809,3.997803,12.011719,27.246094,-10.107422
88805816,-0.987061,-0.034668,-0.306641,17.517090,-1.586914,4.577637,12.011719,27.246094,-10.107422
91308792,-0.999756,-0.016113,-0.315918,18.341064,-2.563477,4.913330,12.011719,27.246094,-10.107422
93842128,-0.999268,-0.003906,-0.314209,18.829346,-2.868652,5.523682,12.011719,27.246094,-10.107422
96330745,-1.008545,0.009766,-0.312744,18.707275,-3.967285,6.011963,12.011719,27.246094,-10.107422
98814850,-1.013916,0.016113,-0.311768,19.042969,-4.333496,6.683350,12.011719,27.246094,-10.107422
101313313,-1.023926,0.032227,-0.315186,19.104004,-5.249023,7.537842,12.011719,27.246094,-10.107422
103901213,-1.037109,0.044922,-0.321777,18.463135,-6.225586,8.117676,12.011719,27.246094,-10.400391
106847677,-1.041748,0.062012,-0.312500,18.493652,-7.263184,9.063721,12.011719,27.246094,-10.400391
109365423,-1.065918,0.074219,-0.318604,17.730713,-8.331299,10.253906,12.011719,27.246094,-10.400391
112366040,-1.076660,0.082031,-0.317627,17.120361,-9.796143,11.474609,12.011719,27.246094,-10.400391
114863683,-1.103271,0.099854,-0.335938,16.540527,-10.833740,12.908936,12.011719,27.246094,-10.400391
117886045,-1.130371,0.107422,-0.355225,16.204834,-11.627197,14.404297,12.011719,27.246094,-10.400391
120366047,-1.157715,0.108643,-0.361084,15.655518,-12.542725,16.021729,12.011719,27.246094,-10.400391
122869023,-1.169189,0.096924,-0.377441,15.411377,-12.878418,17.852783,12.011719,27.246094,-10.400391
125427795,-1.194824,0.097412,-0.406494,15.411377,-12.725830,19.042969,11.791992,28.198242,-10.034180
128903900,-1.210693,0.098145,-0.427979,14.953613,-12.664795,20.507813,11.791992,28.198242,-10.034180
131441748,-1.227539,0.089111,-0.474365,13.793945,-12.512207,21.392822,11.791992,28.198242,-10.034180
134923187,-1.235107,0.086426,-0.485840,11.810303,-12.176514,21.789551,11.791992,28.198242,-10.034180
137422471,-1.237305,0.069580,-0.528320,8.758545,-11.627197,21.942139,11.791992,28.198242,-10.034180
140475192,-1.238281,0.060303,-0.543701,6.286621,-11.016846,21.972656,11.791992,28.198242,-10.034180
143568938,-1.243164,0.040039,-0.569824,2.441406,-10.711670,21.270752,11.791992,28.198242,-10.034180
146484222,-1.237549,0.007080,-0.583008,-0.152588,-9.338379,20.446777,12.304688,27.392578,-10.546875
149492225,-1.275146,-0.012451,-0.595703,-3.051758,-8.880615,19.348145,12.304688,27.392578,-10.546875
152487099,-1.277588,-0.042969,-0.610352,-5.279541,-7.507324,18.463135,12.304688,27.392578,-10.546875
154983511,-1.281006,-0.067383,-0.627441,-6.408691,-6.500244,16.815186,12.377930,27.172852,-10.327148
157477462,-1.296143,-0.077148,-0.632080,-7.568359,-5.126953,16.296387,12.377930,27.172852,-10.327148
159991105,-1.294678,-0.092529,-0.637695,-7.537842,-4.241943,14.831543,12.377930,27.172852,-10.327148
162508851,-1.304932,-0.112305,-0.633789,-7.415771,-3.234863,14.099121,12.377930,27.172852,-10.327148
164980237,-1.306152,-0.121582,-0.625488,-6.591797,-2.197266,13.214111,11.645508,28.051758,-10.473633
167529983,-1.304688,-0.120361,-0.626221,-5.828857,-1.373291,11.871338,11.645508,28.051758,-10.473633
170512550,-1.318848,-0.125488,-0.630859,-5.004883,-0.640869,10.955811,11.645508,28.051758,-10.473633
173058193,-1.328613,-0.127930,-0.617432,-4.150391,-0.030518,9.613037,11.645508,28.051758,-10.473633
175511528,-1.336426,-0.124023,-0.608887,-3.570557,-0.091553,8.117676,11.645508,27.465820,-10.473633
178059633,-1.337158,-0.114990,-0.596191,-2.868652,0.122070,7.385254,11.645508,27.465820,-10.473633
180558917,-1.344482,-0.111572,-0.583740,-2.777100,-0.152588,5.950928,11.645508,27.465820,-10.473633
183063945,-1.353516,-0.108398,-0.571777,-2.288818,-0.305176,4.974365,11.499023,28.051758,-10.327148
185561177,-1.362793,-0.106445,-0.563477,-1.983643,-0.671387,4.028320,11.499023,28.051758,-10.327148
188057590,-1.373779,-0.103271,-0.551270,-1.373291,-1.342773,3.479004,11.499023,28.051758,-10.327148
190559335,-1.377197,-0.099609,-0.540771,-0.946045,-2.349854,2.807617,11.499023,28.051758,-10.327148
193060671,-1.385986,-0.091064,-0.531738,-0.396729,-3.601074,2.105713,12.011719,27.832031,-10.327148
195607134,-1.391357,-0.083740,-0.516357,0.579834,-4.974365,1.770020,12.011719,27.832031,-9.960938
198060880,-1.396729,-0.077148,-0.506592,1.342773,-6.500244,1.586914,12.011719,27.832031,-9.960938
201118113,-1.403320,-0.063965,-0.488770,1.922607,-8.239746,1.495361,12.011719,27.832031,-9.960938
203614526,-1.408936,-0.052734,-0.471680,2.563477,-10.711670,1.708984,11.645508,27.758789,-10.034180
206613913,-1.412842,-0.051270,-0.467529,3.784180,-12.695313,1.708984,11.645508,27.758789,-10.034180
209111556,-1.411133,-0.040039,-0.475098,4.760742,-14.892578,2.380371,11.645508,27.758789,-10.034180
211614942,-1.407471,-0.038330,-0.475342,5.401611,-16.723633,2.593994,11.645508,27.758789,-10.034180
214118739,-1.403076,-0.035156,-0.489746,6.164551,-18.615723,3.234863,12.304688,27.832031,-10.253906
217153819,-1.396240,-0.018555,-0.491211,6.134033,-20.172119,3.753662,12.304688,27.832031,-10.253906
219651462,-1.396240,-0.022705,-0.514160,7.690430,-21.636963,4.638672,12.304688,27.832031,-10.253906
222152797,-1.392334,-0.020508,-0.525146,7.751465,-22.613525,4.669189,12.304688,27.832031,-10.253906
224651261,-1.378662,-0.026367,-0.551758,8.636475,-23.498535,5.340576,12.377930,27.612305,-9.594727
227157109,-1.364502,-0.023926,-0.559570,9.033203,-23.742676,6.164551,12.377930,27.612305,-9.594727
229655573,-1.347412,-0.020020,-0.580566,9.918213,-23.895264,6.652832,12.377930,27.612305,-9.594727
232154036,-1.338867,-0.020508,-0.597412,10.223389,-23.742676,7.080078,12.377930,27.612305,-9.594727
234655782,-1.328369,-0.018799,-0.610596,10.803223,-23.651123,7.781982,11.352539,27.465820,-9.741211
237204297,-1.322510,-0.012451,-0.617920,10.620117,-23.620605,8.331299,11.352539,27.465820,-9.741211
239704812,-1.313232,0.002686,-0.627441,10.467529,-22.796631,8.697510,11.352539,27.465820,-9.741211
242204506,-1.309326,0.018555,-0.636719,9.979248,-22.308350,9.124756,11.352539,27.465820,-9.741211
244757123,-1.301514,0.034424,-0.643799,8.514404,-21.759033,9.155273,11.352539,27.465820,-9.741211
247214561,-1.295654,0.055176,-0.636719,7.019043,-20.904541,9.277344,11.352539,27.465820,-9.741211
249756102,-1.295410,0.061523,-0.645264,5.889893,-20.355225,9.307861,11.352539,27.465820,-9.741211
252254565,-1.292969,0.061768,-0.629639,3.479004,-19.317627,9.338379,11.352539,27.465820,-9.741211
254753850,-1.287598,0.067871,-0.625977,2.410889,-19.042969,9.094238,11.645508,27.465820,-9.448242
257250262,-1.281982,0.076416,-0.624268,0.122070,-17.852783,8.911133,11.645508,27.465820,-9.448242
