
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
166406700,-0.449951,-0.184570,0.875977,3.173828,0.343323,1.052856,22.558594,24.755859,-4.248047
169426600,-0.451904,-0.185059,0.870850,3.288269,0.335693,1.037598,22.558594,24.755859,-4.248047
172414910,-0.449707,-0.182861,0.873291,3.135681,0.305176,1.007080,22.558594,24.755859,-4.248047
175403631,-0.453369,-0.185059,0.871582,3.189087,0.770569,0.953674,22.558594,24.755859,-4.248047
178433787,-0.449707,-0.185303,0.872559,3.440857,0.709534,0.907898,22.851563,24.609375,-4.248047
181389687,-0.451172,-0.183350,0.874756,3.410339,0.656128,0.846863,22.851563,24.609375,-4.248047
183890612,-0.449951,-0.187744,0.867676,3.349304,0.846863,0.892639,22.851563,24.609375,-4.248047
186451845,-0.452637,-0.182373,0.865479,3.364563,0.679016,1.136780,22.851563,24.609375,-4.248047
189456565,-0.455322,-0.183594,0.866455,3.257751,0.984192,0.885010,22.338867,24.682617,-4.174805
191964054,-0.459717,-0.180908,0.868896,3.448486,0.938416,1.075745,22.338867,24.682617,-4.174805
195066826,-0.457764,-0.182129,0.861572,3.387451,1.007080,1.159668,22.338867,24.682617,-4.174805
198061290,-0.453369,-0.181152,0.859863,3.349304,0.999451,0.740051,22.558594,25.048828,-3.955078
200973703,-0.461914,-0.182373,0.864014,3.166199,0.793457,0.984192,22.558594,25.048828,-3.955078
203975962,-0.456055,-0.182617,0.858643,3.364563,0.915527,1.007080,22.558594,25.048828,-3.955078
207029503,-0.456787,-0.182129,0.876465,2.983093,0.968933,0.953674,22.558594,25.048828,-3.955078
210048582,-0.455566,-0.182861,0.866211,3.105164,0.694275,0.740051,22.778320,25.415039,-4.174805
213072585,-0.461426,-0.183105,0.859619,3.021240,0.930786,1.014709,22.778320,25.415039,-4.174805
216042843,-0.460449,-0.178467,0.865234,2.975464,0.427246,0.839233,22.778320,25.415039,-4.174805
219059051,-0.460693,-0.183350,0.860596,2.952576,0.595093,0.915527,22.851563,24.755859,-3.808594
222198746,-0.459473,-0.181885,0.860107,2.960205,0.267029,0.930786,22.851563,24.755859,-3.808594
225109107,-0.457275,-0.186279,0.861328,2.868652,0.381470,0.953674,22.851563,24.755859,-3.808594
228071161,-0.458252,-0.182129,0.858887,3.097534,-0.038147,0.434875,22.192383,25.122070,-3.881836
231049215,-0.460449,-0.184326,0.865234,3.150940,0.457764,1.083374,22.192383,25.122070,-3.881836
234085935,-0.457520,-0.189209,0.857910,3.082275,0.205994,0.762939,22.192383,25.122070,-3.881836
237041015,-0.454834,-0.183105,0.865479,3.402710,0.366211,0.961304,22.851563,24.462891,-3.955078
239577632,-0.460693,-0.179688,0.856201,2.983093,0.358582,0.915527,22.851563,24.462891,-3.955078
242558147,-0.456299,-0.183838,0.865234,3.219604,0.030518,0.801086,22.851563,24.462891,-3.955078
245229739,-0.454834,-0.180908,0.860107,3.112793,-0.061035,0.968933,22.851563,24.462891,-3.955078
