
Run: 1 Realtime: 0 Accel sens: 8 Gyro sens: 1000

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
4076311,-0.967041,0.011230,-0.171875,-2.807617,-3.479004,0.915527,34.350586,31.713867,-1.098633
8057442,-0.970703,0.017090,-0.180176,-2.716064,-3.540039,1.220703,34.350586,31.713867,-1.098633
12380317,-0.977783,0.014160,-0.182129,-2.868652,-3.814697,1.586914,34.643555,31.567383,-0.659180
16378269,-0.981201,0.019043,-0.180420,-2.777100,-4.119873,1.525879,34.643555,31.567383,-0.659180
20320016,-0.981445,0.016113,-0.172119,-2.624512,-4.333496,1.983643,34.643555,31.567383,-0.659180
24528430,-0.982178,0.018311,-0.179932,-3.021240,-4.943848,1.892090,33.911133,31.713867,-0.659180
28781972,-0.983643,0.013428,-0.187500,-3.051758,-5.157471,2.349854,33.911133,31.713867,-0.659180
31828128,-0.979980,0.015137,-0.185547,-3.173828,-4.943848,2.166748,33.911133,31.713867,-0.659180
34910797,-0.981689,0.009033,-0.181885,-2.624512,-5.401611,2.563477,33.911133,31.713867,-0.659180
38962083,-0.977051,0.006836,-0.189209,-2.929688,-4.974365,2.593994,33.911133,31.713867,-0.659180
42975214,-0.976074,0.004150,-0.179932,-2.563477,-4.791260,2.960205,34.643555,32.006836,-0.952148
47595936,-0.970947,0.002441,-0.181152,-2.197266,-4.119873,2.777100,34.643555,32.006836,-0.952148
51959016,-0.963867,-0.001953,-0.186279,-1.342773,-3.356934,3.173828,34.423828,32.226563,-0.585938
55945481,-0.959473,-0.003174,-0.185303,-1.281738,-2.960205,2.716064,34.423828,32.226563,-0.585938
59958203,-0.962402,0.002930,-0.179932,-1.037598,-2.655029,2.807617,34.423828,32.226563,-0.585938
63879437,-0.963379,0.004883,-0.180176,-1.068115,-2.136230,2.655029,34.423828,32.226563,-0.585938
66928875,-0.964355,0.005859,-0.181152,-1.312256,-1.708984,2.349854,34.423828,32.226563,-0.585938
71065494,-0.971436,0.007324,-0.179688,-1.678467,-1.678467,2.197266,34.204102,31.860352,-0.952148
75117189,-0.971924,0.004639,-0.182373,-2.166748,-1.586914,2.014160,34.204102,31.860352,-0.952148
79513090,-0.969482,0.009033,-0.178955,-2.960205,-1.373291,1.617432,34.204102,31.860352,-0.952148
83210734,-0.962402,0.002441,-0.178711,-3.295898,-0.915527,1.190186,34.204102,31.860352,-0.952148
86898943,-0.963379,0.003906,-0.179199,-3.997803,-0.885010,1.037598,34.204102,31.860352,-0.952148
90938741,-0.965332,-0.005371,-0.184570,-3.662109,-0.823975,0.549316,33.618164,31.713867,-0.952148
94986334,-0.963379,-0.005859,-0.177490,-3.997803,-0.549316,0.518799,33.618164,31.713867,-0.952148
99086850,-0.966064,-0.003174,-0.184082,-3.723145,-0.366211,-0.091553,33.618164,31.713867,-0.952148
103595161,-0.970703,0.001953,-0.191895,-3.570557,-0.274658,-0.061035,34.277344,32.226563,-0.585938
107510652,-0.976563,-0.000977,-0.189209,-3.326416,0.457764,-0.488281,34.277344,32.226563,-0.585938
111038450,-0.986328,0.005127,-0.194824,-3.265381,0.579834,-0.823975,34.277344,32.226563,-0.585938
115135684,-0.985596,0.007813,-0.183594,-3.509521,1.007080,-0.732422,34.277344,32.226563,-0.585938
119128713,-0.989746,0.002197,-0.189453,-3.387451,1.159668,-0.976563,34.277344,32.226563,-0.585938
123241126,-0.987793,0.006348,-0.186035,-2.990723,2.136230,-0.671387,34.204102,31.274414,-0.366211
127193130,-0.983398,0.002686,-0.186279,-2.502441,2.319336,-0.640869,34.204102,31.274414,-0.366211
130924415,-0.984863,0.002686,-0.186523,-2.471924,2.777100,-0.885010,34.716797,31.787109,-0.878906
134958059,-0.983154,0.008545,-0.184570,-2.410889,3.234863,-0.885010,34.716797,31.787109,-0.878906
138935908,-0.980713,0.007080,-0.172119,-2.349854,3.509521,-1.220703,34.716797,31.787109,-0.878906
143352322,-0.983398,0.007324,-0.179199,-2.502441,4.089355,-1.373291,34.716797,31.787109,-0.878906
146732428,-0.987549,0.007568,-0.175537,-2.624512,4.058838,-1.800537,34.716797,31.787109,-0.878906
149908635,-0.990234,0.006348,-0.174561,-2.960205,4.241943,-1.831055,34.643555,31.713867,-0.659180
154639716,-0.991211,0.004395,-0.177734,-2.960205,4.302979,-1.953125,34.643555,31.713867,-0.659180
158610591,-0.990479,0.001221,-0.169434,-3.814697,4.455566,-2.532959,34.643555,31.713867,-0.659180
161655517,-0.986328,-0.003662,-0.172607,-4.211426,4.608154,-2.502441,34.643555,31.713867,-0.659180
165651007,-0.988770,-0.004395,-0.169434,-4.364014,4.730225,-3.173828,34.643555,31.713867,-0.659180
168609779,-0.990967,-0.009033,-0.177246,-4.852295,4.669189,-3.509521,34.716797,32.226563,-0.878906
172677475,-0.992432,-0.010742,-0.175293,-4.852295,4.699707,-3.875732,34.716797,32.226563,-0.878906
176678709,-0.990479,-0.021729,-0.178711,-5.157471,4.974365,-4.272461,34.716797,32.226563,-0.878906
180784558,-0.990967,-0.023193,-0.177979,-4.882813,5.432129,-4.669189,34.716797,31.933594,-0.732422
184713587,-0.984619,-0.034424,-0.184326,-4.089355,5.676270,-5.035400,34.716797,31.933594,-0.732422
187685897,-0.980713,-0.037354,-0.190186,-3.387451,5.950928,-5.737305,34.716797,31.933594,-0.732422
190711541,-0.976563,-0.037109,-0.186279,-3.112793,6.072998,-6.072998,34.716797,31.933594,-0.732422
193687543,-0.967285,-0.038086,-0.185059,-2.471924,6.347656,-6.317139,34.716797,31.933594,-0.732422
196686520,-0.966064,-0.038574,-0.189453,-2.319336,6.347656,-6.896973,34.716797,31.933594,-0.732422
200607344,-0.955811,-0.041504,-0.189697,-2.044678,6.500244,-7.537842,33.837891,31.787109,-0.292969
203597705,-0.951904,-0.042236,-0.184570,-1.403809,6.439209,-8.178711,33.837891,31.787109,-0.292969
207598119,-0.945068,-0.041504,-0.187012,-1.037598,6.835938,-8.483887,33.837891,31.787109,-0.292969
210613506,-0.937744,-0.043457,-0.187256,-0.549316,7.446289,-9.216309,33.837891,31.787109,-0.878906
213622329,-0.933350,-0.039307,-0.187988,-0.152588,7.659912,-9.552002,33.837891,31.787109,-0.878906
216631152,-0.927979,-0.041504,-0.187744,0.488281,8.026123,-10.070801,33.837891,31.787109,-0.878906
219589923,-0.924316,-0.044678,-0.191162,0.488281,8.697510,-10.345459,33.837891,31.787109,-0.878906
222610644,-0.919189,-0.043213,-0.189941,0.762939,9.399414,-10.681152,33.837891,31.787109,-0.878906
225628903,-0.910156,-0.040527,-0.190918,0.854492,9.765625,-11.474609,33.837891,31.787109,-0.878906
228665623,-0.906250,-0.035889,-0.190918,0.854492,10.192871,-11.993408,34.643555,31.713867,-0.512695
232442447,-0.899902,-0.033203,-0.195313,0.640869,10.467529,-12.542725,34.643555,31.713867,-0.512695
236447373,-0.886963,-0.029785,-0.196289,0.762939,11.291504,-13.336182,34.643555,31.713867,-0.512695
240435069,-0.864014,-0.035400,-0.193115,0.488281,12.329102,-14.038086,34.643555,31.713867,-0.512695
244451482,-0.848145,-0.047363,-0.191895,1.037598,12.847900,-13.977051,34.643555,31.713867,-0.512695
248433434,-0.833496,-0.056152,-0.193115,2.166748,13.488770,-14.373779,34.936523,31.860352,-1.098633
252542566,-0.815430,-0.061768,-0.198242,3.601074,13.916016,-14.617920,34.936523,31.860352,-1.098633
256503184,-0.795654,-0.055420,-0.189453,6.317139,14.495850,-15.106201,34.936523,31.860352,-1.098633
260495803,-0.774658,-0.059814,-0.188477,8.880615,14.556885,-15.289307,34.643555,31.860352,-0.805664
264450268,-0.749268,-0.061279,-0.173340,12.329102,15.197754,-15.594482,34.643555,31.860352,-0.805664
268448220,-0.725830,-0.071289,-0.170166,15.899658,15.686035,-14.831543,34.643555,31.860352,-0.805664
