
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
2943592,-0.444336,-0.188721,0.870850,0.923157,0.701904,0.381470,23.510742,24.389648,-4.028320
5899902,-0.443115,-0.189941,0.868652,0.709534,0.610352,0.343323,23.510742,24.389648,-4.028320
9406776,-0.443604,-0.198486,0.867188,1.083374,0.839233,0.572205,23.144531,25.048828,-3.955078
12459087,-0.443848,-0.196289,0.862305,0.923157,0.740051,0.328064,23.144531,25.048828,-3.955078
15945038,-0.446777,-0.200684,0.868652,1.167297,0.747681,0.556946,23.144531,25.048828,-3.955078
18940323,-0.449463,-0.200928,0.874023,1.182556,0.946045,0.801086,23.437500,24.755859,-4.541016
21885966,-0.446289,-0.197510,0.873779,1.251221,0.999451,0.297546,23.437500,24.755859,-4.541016
24581763,-0.444580,-0.200439,0.867676,1.319885,1.289368,0.717163,23.437500,24.755859,-4.541016
27547920,-0.447021,-0.201660,0.874512,1.281738,0.854492,0.495911,23.071289,24.829102,-4.028320
30959204,-0.451660,-0.199463,0.876465,1.228333,1.098633,0.740051,23.071289,24.829102,-4.028320
33959412,-0.449951,-0.200195,0.870117,1.296997,0.923157,0.816345,23.071289,24.829102,-4.028320
36969466,-0.451416,-0.200684,0.875244,1.434326,1.197815,0.747681,23.437500,24.902344,-3.955078
39984032,-0.455078,-0.197266,0.870605,1.632690,0.648499,0.961304,23.437500,24.902344,-3.955078
42994496,-0.451172,-0.193359,0.864014,1.335144,0.587463,0.724792,23.437500,24.902344,-3.955078
46073883,-0.451904,-0.194092,0.860596,1.594543,0.656128,0.701904,22.998047,24.755859,-3.955078
49036758,-0.449707,-0.187500,0.858887,1.426697,0.961304,0.526428,22.998047,24.755859,-4.248047
51993888,-0.446533,-0.187256,0.857666,1.678467,0.694275,0.984192,22.998047,24.755859,-4.248047
54985070,-0.450439,-0.187256,0.858154,1.937866,0.640869,0.495911,22.998047,24.755859,-4.248047
58014406,-0.448242,-0.183838,0.857178,1.449585,0.541687,0.541687,22.998047,24.462891,-4.980469
61057280,-0.446777,-0.187500,0.858154,1.510620,0.511169,0.671387,22.998047,24.462891,-4.980469
63990616,-0.446045,-0.188721,0.856689,1.350403,0.343323,0.579834,22.998047,24.462891,-4.980469
67006824,-0.447266,-0.191406,0.856934,1.243591,0.312805,0.511169,22.778320,24.975586,-4.028320
70010724,-0.450684,-0.187256,0.863281,1.228333,0.160217,0.282288,22.778320,24.975586,-4.028320
72878418,-0.450684,-0.186035,0.860107,1.190186,0.205994,0.366211,22.778320,24.975586,-4.028320
76146113,-0.448730,-0.192871,0.860840,1.258850,0.038147,0.320435,22.778320,24.975586,-4.028320
79170526,-0.453369,-0.192627,0.870117,1.220703,0.312805,0.633240,22.778320,24.975586,-4.028320
82611760,-0.450195,-0.192383,0.869385,1.167297,-0.099182,0.373840,22.778320,24.975586,-4.028320
85623044,-0.449951,-0.195557,0.876953,1.022339,0.320435,0.381470,22.778320,24.975586,-4.028320
88607252,-0.450439,-0.189941,0.870361,1.358032,-0.106812,0.373840,22.265625,25.195313,-3.808594
91672690,-0.453613,-0.195068,0.872070,1.083374,-0.045776,0.617981,22.265625,25.195313,-3.808594
94672898,-0.451660,-0.196289,0.876953,1.266479,-0.335693,0.221252,22.265625,25.195313,-3.808594
97617310,-0.449951,-0.197998,0.872070,1.365662,0.221252,0.358582,22.265625,25.195313,-3.808594
100617928,-0.444580,-0.197998,0.877197,1.289368,-0.053406,0.457764,22.265625,25.195313,-3.808594
103656700,-0.450684,-0.199219,0.878906,1.411438,-0.007629,0.587463,22.265625,25.195313,-3.808594
106640497,-0.447021,-0.205078,0.877686,1.823425,0.068665,0.389099,22.851563,24.755859,-3.955078
109634961,-0.443604,-0.200928,0.877197,1.655579,0.236511,0.465393,22.851563,24.755859,-3.955078
112643374,-0.439209,-0.198730,0.869629,1.625061,0.106812,0.404358,22.851563,24.755859,-3.955078
115164812,-0.439941,-0.199219,0.880859,1.831055,0.305176,0.518799,22.851563,24.755859,-3.955078
117666558,-0.437988,-0.201416,0.874268,1.739502,0.373840,0.289917,22.851563,24.755859,-3.955078
120675791,-0.436523,-0.199951,0.878418,1.876831,0.556946,0.480652,22.851563,24.755859,-3.955078
123840511,-0.435059,-0.201172,0.867188,1.693726,0.122070,0.617981,22.851563,24.755859,-3.955078
