
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
2980925,-0.461670,-0.193848,0.865723,0.640869,-0.289917,0.099182,22.705078,24.902344,-4.541016
5883081,-0.464355,-0.193359,0.860840,1.182556,-0.450134,0.480652,22.705078,24.902344,-4.541016
8402058,-0.466553,-0.193848,0.855225,1.152039,-0.518799,0.236511,22.705078,24.902344,-4.541016
10884932,-0.466064,-0.190918,0.862549,1.144409,-0.953674,0.267029,22.778320,24.975586,-4.028320
13381754,-0.463135,-0.196289,0.864258,1.426697,-0.579834,0.366211,22.778320,24.975586,-4.028320
15883910,-0.462891,-0.198486,0.860352,1.525879,-0.701904,0.198364,22.778320,24.975586,-4.028320
18406989,-0.460449,-0.195068,0.855957,1.251221,-0.808716,0.160217,22.778320,24.975586,-4.028320
21411299,-0.455811,-0.196289,0.866455,1.152039,-0.686646,0.129700,22.924805,24.682617,-4.321289
23913045,-0.456299,-0.195313,0.858643,1.205444,-0.648499,0.541687,22.924805,24.682617,-4.321289
26453355,-0.451660,-0.194824,0.864258,1.098633,-0.831604,0.305176,22.924805,24.682617,-4.321289
28952639,-0.452148,-0.197266,0.862305,1.251221,-1.052856,0.526428,22.338867,25.122070,-3.735352
31455205,-0.449219,-0.193848,0.856934,0.991821,-0.923157,0.389099,22.338867,25.122070,-3.735352
33956950,-0.446045,-0.197754,0.861572,1.045227,-1.060486,0.595093,22.338867,25.122070,-3.735352
36459106,-0.443604,-0.191650,0.855469,1.197815,-0.907898,0.671387,22.338867,25.122070,-3.735352
38957160,-0.443359,-0.192139,0.860840,1.083374,-1.136780,0.671387,22.338867,25.122070,-3.735352
41467110,-0.435303,-0.190918,0.863525,1.213074,-1.228333,0.648499,22.412109,24.902344,-3.515625
44485780,-0.438721,-0.191650,0.860107,1.335144,-0.961304,0.541687,22.412109,24.902344,-3.515625
47469577,-0.443604,-0.185059,0.864502,1.266479,-0.778198,0.549316,22.412109,24.902344,-3.515625
50007835,-0.437988,-0.184570,0.866699,1.098633,-0.816345,0.343323,22.998047,24.755859,-4.248047
52565376,-0.437744,-0.189453,0.865723,1.235962,-0.633240,0.419617,22.998047,24.755859,-4.248047
55597584,-0.437256,-0.190430,0.870117,1.182556,-0.549316,0.556946,22.998047,24.755859,-4.248047
58510406,-0.434326,-0.187500,0.873535,1.403809,-0.396729,0.663757,22.998047,24.755859,-4.248047
61010511,-0.439209,-0.183594,0.867188,1.502991,-0.350952,0.320435,22.998047,24.902344,-4.101563
63558205,-0.439209,-0.187500,0.876709,1.419067,-0.175476,0.587463,22.998047,24.902344,-4.101563
66062823,-0.441162,-0.184082,0.870117,1.678467,-0.045776,0.350952,22.998047,24.902344,-4.101563
68574825,-0.440674,-0.192871,0.873291,1.235962,-0.068665,0.411987,22.998047,24.902344,-4.101563
71067135,-0.442383,-0.184814,0.885986,1.792908,-0.083923,0.404358,23.364258,24.829102,-4.467773
74061188,-0.440918,-0.188477,0.873535,1.586914,0.274658,0.366211,23.364258,24.829102,-4.467773
76642114,-0.443359,-0.183350,0.879150,1.594543,0.091553,0.068665,23.364258,24.829102,-4.467773
79640270,-0.444092,-0.187256,0.875244,1.846313,0.686646,0.617981,22.851563,24.755859,-4.101563
82639247,-0.446045,-0.186279,0.871582,1.754761,0.457764,0.358582,22.851563,24.755859,-4.101563
85699762,-0.453369,-0.184814,0.877930,1.892090,0.198364,0.122070,22.851563,24.755859,-4.101563
88621200,-0.452881,-0.185303,0.876709,1.556396,0.587463,0.564575,22.851563,24.755859,-4.101563
91111869,-0.454346,-0.185791,0.872803,1.373291,0.350952,0.099182,22.851563,24.755859,-4.101563
93611974,-0.457764,-0.185547,0.874512,1.449585,0.366211,0.267029,22.851563,24.755859,-4.101563
96111668,-0.449951,-0.185791,0.869629,1.647949,0.480652,0.205994,22.851563,24.755859,-4.101563
98614234,-0.455078,-0.185303,0.877197,1.289368,0.717163,0.190735,22.851563,24.755859,-4.101563
101112288,-0.456787,-0.192139,0.871582,1.716614,0.236511,0.396729,23.144531,24.316406,-3.955078
103667367,-0.450439,-0.188721,0.873535,1.419067,0.534058,0.114441,23.144531,24.316406,-3.955078
106167471,-0.450439,-0.187256,0.867188,1.327515,0.671387,0.152588,23.144531,24.316406,-3.955078
108663063,-0.455566,-0.183350,0.869873,1.312256,0.465393,0.389099,23.144531,24.316406,-3.955078
111160296,-0.448975,-0.189697,0.874268,1.144409,0.419617,0.251770,23.144531,24.316406,-3.955078
113700606,-0.447998,-0.189209,0.865723,1.396179,0.679016,0.427246,23.144531,24.316406,-3.955078
116665531,-0.449707,-0.189941,0.864990,0.877380,0.541687,0.480652,23.144531,24.316406,-3.955078
119210764,-0.447754,-0.194824,0.863770,1.220703,0.312805,0.679016,22.924805,24.829102,-4.174805
121662048,-0.444336,-0.190430,0.869629,0.999451,0.549316,0.602722,22.924805,24.829102,-4.174805
124162153,-0.442871,-0.193115,0.870850,0.930786,0.648499,0.663757,22.924805,24.829102,-4.174805
126709437,-0.442383,-0.192627,0.865967,1.014709,0.617981,0.549316,22.924805,24.829102,-4.174805
129212003,-0.442139,-0.193359,0.886963,0.907898,0.663757,0.984192,22.924805,24.829102,-4.174805
131787595,-0.441895,-0.193359,0.878418,1.014709,0.732422,1.014709,22.924805,24.829102,-4.174805
134714366,-0.447510,-0.198242,0.878418,0.984192,0.900269,1.075745,22.924805,24.829102,-4.174805
137217343,-0.435547,-0.198242,0.884521,0.991821,0.946045,1.129150,22.924805,24.829102,-4.174805
139712524,-0.436035,-0.192139,0.874512,0.694275,0.976563,0.892639,22.924805,24.975586,-4.028320
142259809,-0.438477,-0.190918,0.880127,0.907898,1.274109,1.159668,22.924805,24.975586,-4.028320
144758682,-0.436035,-0.191650,0.878906,0.656128,1.403809,1.205444,22.924805,24.975586,-4.028320
147260428,-0.438477,-0.192139,0.878906,0.839233,1.068115,1.075745,22.924805,24.975586,-4.028320
150309046,-0.443115,-0.190186,0.880615,1.007080,1.502991,1.304626,22.924805,24.975586,-4.028320
153262894,-0.438965,-0.185303,0.880371,0.564575,1.823425,1.373291,22.924805,24.975586,-4.028320
155761358,-0.440430,-0.193359,0.882568,0.198364,1.564026,1.106262,22.924805,24.975586,-4.028320
158309463,-0.439209,-0.188477,0.876465,0.503540,1.670837,1.373291,22.924805,24.975586,-4.028320
160809978,-0.447754,-0.189697,0.871338,0.915527,2.319336,1.335144,22.778320,24.975586,-4.028320
163337569,-0.445068,-0.186768,0.878906,0.572205,2.075195,1.091003,22.778320,24.975586,-4.028320
166309880,-0.453125,-0.190918,0.880615,0.846863,2.357483,1.113892,22.778320,24.975586,-4.028320
168814087,-0.450928,-0.185303,0.873047,0.717163,2.136230,0.984192,22.778320,24.975586,-4.028320
171312550,-0.453125,-0.185547,0.864258,0.747681,2.532959,1.098633,22.778320,24.975586,-4.028320
173811834,-0.458496,-0.184326,0.864258,0.701904,2.082825,0.961304,22.778320,24.975586,-4.028320
176316042,-0.457275,-0.187500,0.861328,0.839233,2.441406,0.854492,22.778320,24.975586,-4.028320
179315429,-0.461670,-0.191406,0.861084,0.991821,2.395630,0.762939,22.851563,25.195313,-4.248047
181863944,-0.464844,-0.189453,0.855225,0.907898,2.197266,0.534058,22.851563,25.195313,-4.248047
184364869,-0.463867,-0.191650,0.857422,0.816345,1.945496,0.808716,22.851563,25.195313,-4.248047
186860871,-0.467529,-0.192627,0.849854,0.701904,1.960754,0.816345,22.851563,25.195313,-4.248047
189363027,-0.466797,-0.193115,0.847168,0.801086,1.998901,0.526428,22.851563,25.195313,-4.248047
191861901,-0.461426,-0.197021,0.849121,0.762939,1.541138,0.801086,22.851563,25.195313,-4.248047
194366928,-0.464355,-0.199219,0.845703,0.747681,1.312256,0.816345,22.851563,25.195313,-4.248047
196862110,-0.469971,-0.202881,0.843750,0.701904,1.266479,0.946045,22.851563,25.195313,-4.248047
199409394,-0.471436,-0.199707,0.846191,0.816345,0.961304,1.098633,22.558594,25.048828,-4.248047
201910729,-0.467529,-0.195313,0.845703,0.709534,0.640869,1.251221,22.558594,25.048828,-4.248047
204412885,-0.468506,-0.197510,0.847900,0.770569,0.724792,1.060486,22.558594,25.048828,-4.248047
206909708,-0.463379,-0.198730,0.845947,0.541687,0.450134,0.938416,22.558594,25.048828,-4.248047
209411864,-0.468262,-0.202881,0.848633,0.679016,0.274658,1.205444,22.558594,25.048828,-4.248047
211914020,-0.461914,-0.201416,0.850830,0.740051,-0.122070,1.464844,22.558594,25.048828,-4.248047
214418637,-0.462402,-0.198730,0.848877,0.839233,0.213623,1.136780,22.558594,25.048828,-4.248047
216992178,-0.459961,-0.198486,0.852783,0.831604,-0.389099,1.571655,22.558594,25.048828,-4.248047
219965308,-0.457275,-0.200195,0.856445,0.747681,-0.076294,1.358032,23.583984,25.195313,-4.248047
222962234,-0.457764,-0.199707,0.865479,0.762939,-0.099182,1.235962,23.583984,25.195313,-4.248047
